ID,time,event,Death_Causes,Density,RoadBuild,LocCore,Age_F,Age_M,Conf2,Conf1,TimePres,Moose,Country,LocEast,F_male ,F_female,F
1,3,0,0,-0.346325249,-0.502912137,0.64412441,-0.255656418,-0.106828884,1.551083256,-1.633725788,-0.734513317,-0.713953031,1,-1.57529861,-1.186398476,-1.388768732,-0.586316491
1,4,0,0,-0.346325249,-0.48423999,1.298470577,0.144077558,0.346272934,1.553801105,-1.695256786,-0.520486157,-0.803930084,1,-1.597065362,-1.186398476,-1.388768732,-0.586316491
1,5,1,2,0.359719043,-0.52033726,1.148767891,0.543811534,0.799374752,1.56867076,-1.665762157,-0.180725629,-0.971504909,1,-1.560538964,-1.186398476,-1.388768732,-0.586316491
2,1,0,0,-0.346325249,-0.193891443,0.956702754,-0.655390394,-0.559930702,1.016161393,-1.927808883,-1.177325016,-0.488336916,1,-1.790030254,-1.186398476,-0.269921544,-0.322830197
2,2,0,0,-0.346325249,-0.151799864,1.608437221,-0.255656418,-0.106828884,0.965466483,-1.969429587,-0.937414513,-0.771533012,1,-1.776532115,-1.186398476,-0.269921544,-0.322830197
2,3,1,2,-0.346325249,-0.160338652,1.48700083,0.144077558,0.346272934,1.078111824,-1.945079026,-0.59678671,-0.990496468,1,-1.738595121,-1.186398476,-0.269921544,-0.322830197
3,1,1,2,-1.052369541,2.362169928,2.555241594,-1.05512437,-1.013032519,-2.118731236,-2.539093076,-1.250667713,-0.535002096,3,-0.083977943,0.4353139,-0.642310763,-0.532566755
4,1,1,4,-0.346325249,-1.695665723,1.651678579,0.144077558,0.346272934,1.116957873,-0.10715726,-0.309665561,-0.633366273,2,-1.329648546,0.040845445,-0.082467287,0.013909391
5,1,1,2,-1.052369541,-0.555768278,0.448709136,-0.655390394,-0.106828884,1.861750144,-1.307463263,-0.993333433,0.55103471,1,-1.47772668,-0.485116236,0.663990682,-0.616647577
6,1,0,0,-1.052369541,2.043642791,1.881275289,-1.05512437,-0.106828884,-2.231148491,-2.063399654,-1.250667713,0.027951221,3,1.370036484,0.040845445,0.47737619,0.182415427
6,2,1,2,-1.052369541,1.909001632,2.000428147,-0.655390394,0.346272934,-2.254945096,-2.168810459,-1.000368538,-0.104372833,3,1.375472438,0.040845445,0.47737619,0.182415427
7,1,0,0,0.359719043,0.115078243,0.728252963,-1.05512437,-1.013032519,-0.285078229,0.657552944,-0.768549874,0.972161205,3,1.607888133,-0.046809225,-0.642310763,-0.721748605
7,2,1,2,0.359719043,-0.044907247,0.547582055,-1.05512437,-1.013032519,-0.083423512,0.952041648,-0.614883602,0.762299567,3,1.538207004,-0.046809225,-0.642310763,-0.721748605
8,1,0,0,-0.346325249,-0.504876023,-0.316249333,-1.05512437,-1.013032519,1.327697441,0.899401262,-1.237074384,-0.908000121,3,1.15215107,-0.046809225,-0.175768561,1.719879263
8,2,1,3,-0.346325249,-0.279159147,-0.406055654,-0.655390394,-0.559930702,1.397741,0.996261771,-0.864293715,-1.049604756,3,1.166463454,-0.046809225,-0.175768561,1.719879263
9,1,1,2,-1.052369541,-0.233091461,0.520859517,0.543811534,0.346272934,1.297878351,-0.947786958,0.192782213,2.424353617,1,-1.267238292,0.298345063,0.337412335,0.107387192
10,1,1,2,-1.052369541,0.75309929,2.905613025,-1.05512437,-1.013032519,-2.157913787,-2.590339264,-1.245136367,-0.311199694,3,0.017252361,0.703775962,0.623168389,2.505830776
